movieId,primary_genre,lda_comp_1,lda_comp_2,lda_comp_3,lda_comp_4,lda_comp_5,lda_comp_6,lda_comp_7,lda_comp_8,lda_comp_9,lda_comp_10,cluster
10,Action,-0.81121755,-0.21845332,-0.789269,-0.27156913,-1.4911537,3.2762728,0.6238227,-2.1572542,-0.49982595,-0.6585316,1
100044,Documentary,-0.9709965,-1.3669791,1.8243803,1.6982332,-3.210188,1.3084035,-4.7316422,3.1041558,-2.1623058,0.57332253,10
100106,Documentary,-0.06599249,-1.7922769,1.717578,3.1737068,-5.7021065,1.0888023,-2.250937,2.3256485,0.040021382,0.9944139,10
100159,Comedy,1.1837238,-1.2588872,0.9841255,1.7666762,0.0553824,-0.26416004,-0.29184383,-0.5381381,0.4674558,-0.60459805,8
100163,Action,0.31681195,0.4565223,-2.1293736,0.7081803,1.0178498,2.5210164,-1.279638,-0.9074472,-1.7767029,1.6353444,8
100277,Drama,-1.735439,-1.0529703,0.90077883,-0.7197472,-0.0062402114,-0.17458189,-2.0720406,0.30410987,0.4071044,-0.38122562,11
100302,Drama,1.2435825,-0.37171608,0.82478917,0.0052250847,-0.3064023,-1.946826,0.8640547,-0.77835035,-0.73077685,-0.56703985,8
100304,Action,-1.5845577,-0.6328094,-0.5292875,1.4343532,0.7698476,1.0210363,0.2783747,0.5955436,-1.3479896,-0.021456055,1
100390,Comedy,2.2293105,-0.9657557,-0.34792256,1.1218266,2.085598,-1.9336123,-1.0337951,0.17106847,-0.5468664,-0.16616061,8
100397,Horror,-2.9449348,3.6917615,0.5477475,-0.64162934,1.1356235,0.034803793,0.5848297,3.5181267,-0.1148581,-0.70771194,3
1004,Action,-0.20818347,-1.3531933,-1.7394109,0.43726656,-0.677602,0.5895424,0.7657837,-0.26182762,-0.7129633,-0.59748393,1
100487,Drama,-0.4241448,-1.1594205,1.4023412,-2.4147556,-0.28630692,-1.0811675,0.23237622,-1.968879,-0.6335127,0.07804091,11
100498,Action,-2.13037,0.049332857,-1.515851,1.5299821,1.851873,2.0718088,-0.88009953,0.009910904,0.034739494,-0.7436321,1
100527,Drama,-1.7680846,-0.35822344,0.7988979,-0.39305016,-0.23767166,-1.2352941,-0.47770384,-0.99730766,-0.61939055,1.974733,11
100556,Documentary,-1.2144538,-1.4850968,0.45539075,0.9354427,-2.0850358,2.1908484,-3.9759643,3.5477188,-0.37101224,0.9647018,10
100579,Action,-2.1218445,-1.7626902,-2.4056237,0.38650784,1.6810849,2.089562,0.03627795,-0.85463,-1.1762254,-0.8161166,1
100714,Drama,-1.1856095,-1.8549384,1.5470066,-1.6033009,1.0067658,-0.8984796,-0.6024502,-2.7842236,-0.7944888,-0.5667635,11
100737,Action,-0.98245275,1.3050586,0.016751796,0.57539093,0.3363046,3.0542984,0.24460544,-1.5918559,-0.100644216,0.31016007,1
100810,Horror,-1.6006335,4.14239,1.8217657,-0.019913703,0.452244,0.10827629,-0.3396616,2.8199587,-0.7404522,0.6252958,3
100882,Adventure,3.2783372,2.2167604,0.4034881,0.8111353,0.5792109,-0.20278423,-2.4027157,-0.58545876,-0.30447453,1.9752309,4
1009,Adventure,2.2590013,3.8724484,-0.8698196,0.93203616,0.7609102,1.0596302,-1.5643415,-1.313147,-0.7190817,0.54942334,4
100906,Action,-1.9934938,-0.47585595,-2.8517935,0.7768932,-0.25598982,0.63157845,-0.36465034,-0.3873297,-1.3296354,-0.10090424,1
101,Adventure,2.162684,4.5645657,-1.7414664,-1.5770152,0.6288794,0.48870775,-1.7267174,-1.786564,-0.051977336,1.474704,4
1010,Children,3.180832,1.2350006,-1.1313925,2.14972,-2.9732177,0.667896,2.0350595,-2.9943037,2.5236712,-3.755192,5
101070,Drama,-0.5906444,0.9853333,-0.93754685,-1.2707806,-0.7785568,-0.47406167,-0.24652681,-0.1963402,0.120494515,0.54910636,11
101072,Comedy,2.078001,0.57041425,-0.66042805,0.35474116,2.2532396,-1.2752804,0.4310966,2.0843418,-1.2405626,1.7462118,8
101076,Action,-2.841646,-1.6673855,-0.15090573,-0.5299289,1.1911029,-0.5566138,-0.19864458,-1.0397661,-1.647521,-0.63070875,1
101088,Drama,0.007637676,-0.6895009,1.0910605,-1.8870918,-2.4020226,0.5613391,-1.8911673,-1.4913778,-0.25664058,-1.2027642,11
1011,Children,4.156453,0.5105282,-0.13549854,-0.9970352,-3.3258982,-1.2946973,2.61341,-3.9238157,2.7906826,-4.1086316,5
101112,Action,-1.5040969,0.5382768,-1.9742057,1.0059572,0.29131725,0.48045546,-1.2079313,-0.29012537,1.3573372,-0.9306985,11
101142,Adventure,1.8021553,2.6965492,-1.5288799,-2.5451086,0.7254117,1.2003279,-2.0763044,-1.6654019,-2.27638,2.0617247,4
1012,Children,2.3006918,0.8997392,-0.03909883,0.106828526,-4.217474,0.96893704,3.3759816,-1.9413996,2.2202706,-3.8267589,5
101283,Comedy,2.1099372,-1.560657,-0.25137943,0.17547196,0.15667239,-0.5789745,2.103012,-0.15185285,1.373387,-1.0709167,8
1013,Children,4.180097,1.3530842,0.16335954,1.1696465,-4.951555,1.3588996,2.0137,-2.4989371,3.517345,-4.712859,5
101360,Drama,-1.8504726,-0.6355629,1.2170998,-1.6629962,-2.2058015,-1.41604,0.31940445,-0.05226712,0.33122492,-0.0371795,11
101362,Action,-2.7161515,-1.5111815,-1.108478,1.3708899,-0.010577761,1.9800279,-0.2860673,-2.0744896,0.7805835,-1.5129881,1
1014,Children,2.9835935,0.68498117,-1.7170804,2.1410367,-4.978841,2.5083952,2.6044712,-1.6899432,3.0195134,-4.159149,5
101529,Comedy,2.1116724,-1.2459205,-0.46422336,-0.25111485,-0.06594734,2.4747996,-0.2147112,2.2139351,-0.026529834,-1.7495897,8
101577,Action,-2.3975923,0.26654795,-2.0230908,1.2370859,-0.6495925,0.048066854,-0.29068744,0.18767136,-0.60540265,0.46532717,1
101612,Comedy,2.0253708,-0.75407016,1.0412321,0.21169789,1.3430023,0.36141706,0.542123,2.236328,-0.83605874,0.5415629,8
1017,Adventure,1.7269335,4.7884874,0.06382407,-2.7290003,-0.5604776,1.3117691,-0.65161943,0.07299475,-2.537348,1.2589328,4
101739,Horror,-2.7849655,2.965804,1.1198654,-1.8342319,0.153121,1.008352,1.8854263,5.1223316,0.9691651,0.5431044,3
101741,Crime,-2.9239354,0.1687177,0.9018483,-0.7293454,0.61896205,1.3003013,-0.6846974,1.5725914,1.270072,0.29342112,1
1018,Children,2.8885574,0.38794416,-1.027775,1.2432358,-3.247052,1.1670073,2.9001215,-2.1634352,1.9581175,-5.1463933,5
1019,Adventure,2.301458,4.0773816,-2.2878532,-1.0584075,0.99313676,1.0825632,0.30993652,1.9789524,-1.2908872,1.5819656,4
101973,Drama,-0.7044306,-1.2056122,0.38685435,-2.1874123,1.652106,-1.3281012,-0.1998178,-2.2704518,0.30353105,2.0739512,11
102,Comedy,2.380086,-0.091510594,1.2677443,1.6413491,0.77300924,2.5650358,0.8471674,1.2032694,1.7132629,-0.56636125,8
1020,Comedy,2.7995152,-0.50544494,0.95803654,0.21599483,1.8194568,0.43990076,0.25329775,-0.024774611,-1.0891037,-0.1155318,8
102025,Children,2.1554775,0.30851778,-0.81848717,0.46162498,-5.045404,-1.1976788,2.948247,-1.5725329,1.11707,-2.239825,5
102033,Action,-0.85761184,-0.11022553,-1.5729883,-0.22353676,0.24112917,1.7824069,2.5305562,-0.86560017,-1.3097802,-0.31507897,1
102066,Horror,-1.6478688,4.977914,0.16301477,-1.0149267,-2.6418843,-1.0294247,1.5627426,4.272022,1.8430636,-0.56801087,3
102070,Comedy,2.3893607,0.74902105,0.8914376,-0.2326375,-0.17814001,0.025139898,2.1145394,-0.18283103,0.77197796,0.941295,8
102088,Action,-0.9820373,-0.39513388,-1.2600305,-0.21388432,1.7465022,2.9126818,0.030335099,-1.9035058,-0.78786063,1.008717,1
102123,Action,-1.3123592,-1.8891997,-2.7269375,-0.17368968,2.4159331,2.7309678,1.0120829,-0.23597863,0.41585985,-0.16809951,1
102125,Action,-1.8581686,-2.197338,-1.4163878,0.5454955,-0.074789286,1.1907616,0.8041996,-1.7207681,1.2108516,0.3797483,1
102194,Adventure,2.150944,4.3864503,0.88548654,-1.8642467,0.83634317,1.6545596,-1.2002646,-1.0575883,-2.5598052,1.316827,4
1022,Animation,1.6211431,1.6367977,-4.700512,1.8908073,-4.1024876,-2.3938,0.5583633,-1.145219,1.9096938,-0.8502613,5
1023,Animation,0.3312107,-0.56537116,-4.8516145,0.29122457,-4.6472034,-2.0974,-1.1259766,0.4484411,1.522533,-1.269385,5
102445,Action,-1.5478445,-1.6169956,-1.4092002,1.4614675,0.4608214,1.2765138,2.2490802,-1.6482887,1.1123259,-1.7738636,1
102481,Comedy,1.4319903,-0.9035375,0.062232256,0.07536702,-0.14264697,0.83490115,-0.3050645,2.0350375,1.7213335,0.8320424,8
1025,Animation,0.7209711,1.1796366,-4.928801,0.3685785,-3.4235754,-2.4891555,-2.3874311,-0.60072756,2.3026018,-1.6525953,5
102602,Comedy,2.1801617,-1.1691755,1.5470583,2.0604205,1.008899,-1.5672091,-0.12685943,-0.3205316,0.6041497,-1.1405072,8
102666,Adventure,2.0086744,2.3317065,0.08551441,-1.231236,0.42068094,0.38015792,-1.3008707,-1.5548344,-0.32470477,1.5705814,4
102684,Drama,-0.7852119,-0.9400579,0.54253006,-0.38381708,-1.2904583,-0.82131875,-1.2312843,-0.3540609,-1.3991965,-0.90681493,11
102686,Comedy,2.2614665,-0.2076819,2.039244,1.2657686,1.9015319,0.4073622,0.8062705,0.018025458,2.0127323,0.352396,8
1027,Adventure,3.073463,3.3738952,0.26603273,-1.2264673,0.41912723,2.5318801,-1.7609458,0.39383954,0.74463546,2.3948436,4
102716,Action,-0.57856476,-0.086937636,-2.534598,-0.05883062,0.315311,0.8806913,0.37318617,-1.4829284,-1.6598508,-0.7069818,1
102720,Adventure,4.834958,3.3503094,-0.32662424,0.49387786,1.1795837,1.367193,-1.4790797,-0.40247536,-0.5915411,1.5592957,4
102742,Documentary,-1.0010139,0.8328999,1.2884804,1.2018478,-2.2226832,-0.45887864,-2.996126,2.303233,-0.84168905,1.3385637,10
102747,Comedy,2.2397058,-0.21142781,0.23246093,0.16087607,2.7785504,0.8987004,2.2118611,0.62366784,-0.101950765,0.7793624,8
102760,Comedy,1.5616907,0.31713423,0.5170346,-0.06268364,-1.2660751,-0.9387865,2.4761817,1.6120768,-0.10165422,-0.59675646,8
1028,Children,0.5866293,1.9485883,-1.2648112,0.9131664,-1.8557761,-0.08548227,1.189353,-1.5343306,2.9793444,-2.4458814,11
102800,Comedy,0.4708536,-0.53152215,-0.29754525,1.3053079,-0.06969185,1.1018037,1.0562661,0.19492058,-0.8950549,0.348958,8
102819,Drama,0.2538136,-0.2580591,0.20329775,-1.3972352,-1.8432769,-1.9154451,-1.5517464,-2.076109,0.68092537,-0.7437401,11
102880,Action,-0.87229484,-0.6407169,-0.29716557,1.7099576,0.46035552,0.4245775,-1.2917384,-0.62098527,-0.25269103,-1.4855945,11
102903,Crime,-0.19698232,0.30557108,-1.2454793,1.7241955,-0.21228996,1.0885557,-2.5367656,-0.20134684,1.442671,1.5691959,1
102993,Comedy,1.8753759,1.4043924,-0.38829005,0.10216695,-1.1053789,-1.4155554,0.47312546,0.65772897,-2.5065079,-0.024693787,8
1030,Adventure,2.654951,2.793254,-1.3843379,-1.2293949,-0.6175519,0.18304184,-2.6987722,0.08973977,1.504168,1.3972136,4
103042,Action,-1.9253892,-0.052155405,-1.7890329,-0.43175784,0.9969452,2.2894273,-0.7162107,0.29386356,0.8357833,1.1565046,1
103048,Comedy,3.4430795,0.32118306,-0.3254768,0.46302754,0.09806433,1.3665001,0.30542263,0.42202967,0.068020165,0.019746482,8
103085,Comedy,2.5640235,-0.15406805,0.051105097,-0.6249912,-0.39868316,-0.47079697,0.39175195,-0.6944207,0.5895166,0.50937825,8
1031,Adventure,2.052087,2.5574038,-2.546404,-0.9043404,-0.11316681,2.0890696,-2.9343052,-2.5450292,-0.47871247,0.24566776,4
103107,Documentary,-1.3687155,-2.1947336,3.7146435,-0.07200971,-2.5860121,0.9043982,-3.813632,1.2199229,-1.7963563,0.119947016,10
103137,Crime,-0.9006051,1.3334302,0.8796364,0.99230677,0.7475966,0.26286727,-0.3278656,-0.04786952,1.1145062,1.2508396,1
103141,Adventure,2.7462788,1.9437923,-0.9692428,-1.842874,0.7492658,1.4093804,-2.5688703,-0.49444914,0.18268979,3.2304547,4
103171,Comedy,0.8818581,0.045708746,-0.6606338,0.13507316,1.9466499,2.335906,0.12299335,-0.60324323,0.9725777,-1.6942251,1
103210,Action,-1.295122,1.3581501,-1.3261262,2.2064316,-0.6082096,3.4849658,-0.5389613,-1.2095929,-2.0478265,-0.08190003,1
103219,Horror,-2.872178,4.577986,-0.041415706,-1.4745475,-0.94887215,0.9186696,0.76091087,3.7035158,-0.18365982,-0.7702056,3
103221,Comedy,2.7593799,1.003512,1.8126153,0.24597245,0.89933664,0.36373195,-0.09606847,-0.77638626,-0.21584626,-0.4344505,11
103228,Action,-3.8549578,-1.1016461,-0.65378714,2.0691574,-0.7735716,1.6010863,0.39715946,-1.1586782,-1.7551782,1.1671976,1
103245,Comedy,2.0777256,-0.2901032,0.91833305,-0.62135744,0.30921313,1.6001108,0.4712324,1.1579258,1.3825008,1.3166444,8
103249,Action,-1.7265084,-2.6340191,-2.5391626,-0.4812981,-0.44536212,0.7132096,0.79334337,-1.280733,-0.087210685,0.78281975,1
1033,Animation,2.1479242,0.81082785,-4.125822,0.5719411,-2.766396,-2.8995736,-0.9247434,0.70265955,0.6085819,-0.076580584,5
103335,Animation,0.8752134,-0.074670374,-4.870807,-0.64595026,-3.4539657,-3.8138716,-1.3326526,0.49118435,0.88566846,-0.6017238,5
103341,Action,-1.186867,-0.8300979,-1.3729231,-0.6517057,1.0648391,3.0501623,1.4517181,1.9845648,-0.42435902,0.14489105,1
103366,Action,-0.5419666,-1.193193,-2.0213418,1.3034732,1.4991935,1.1045763,0.4619847,-0.95913213,-1.7470527,-0.49584,1
103384,Action,-2.6001055,-0.22878003,-1.9149706,-0.35018122,0.18928346,-0.60945857,0.06252456,1.1063772,-1.0451285,0.04835674,1
1034,Comedy,1.9575287,-1.3975955,1.3309438,-0.59036326,1.2092866,-1.5646988,0.1972502,0.024123281,-1.5280051,1.7876678,8
103449,Crime,-1.4602475,-0.21243635,-1.6983286,0.09205055,-0.89530444,1.1829916,-0.40715528,0.9493437,0.5817874,1.4999771,1
103483,Horror,-1.4935417,1.6396656,0.5574858,-2.3570166,0.13008241,0.90118575,0.24453893,3.5985672,-0.117822096,-1.4673084,3
1035,Musical,4.7753973,4.2086115,0.9969702,-2.3536658,-3.6496246,-0.08970839,3.3371828,13.042146,-11.514646,-9.77523,6
103502,Comedy,2.2240899,-0.28004748,-0.6640298,0.4498134,0.9538327,0.1975406,0.43446124,0.9866779,1.0311193,-0.78482896,8
103539,Comedy,1.6155149,-0.56319374,-0.49197027,-0.81715816,1.1203302,0.69998264,2.5956118,0.31102198,1.6121454,0.58703446,8
103543,Comedy,1.4891346,0.1963185,0.17541888,-0.7153003,-0.33618525,0.5612761,1.1226394,0.9633621,0.8922,-0.48896343,8
1036,Action,-1.3663977,-0.103165224,1.6070426,1.9482899,-0.4282121,1.5772014,2.1257274,-1.1299093,-0.78861564,0.110874936,1
103606,Comedy,1.0711823,-1.2448266,1.6524739,0.2310716,-0.21636567,-0.4180675,1.1334872,-0.4128976,1.4503369,0.8579899,8
103685,Drama,-0.99197775,-0.4794258,-0.8746585,-0.43010733,0.49602774,-1.6708499,-0.68482447,-2.1411982,1.4004374,-0.42270488,11
103688,Horror,-4.106383,3.9254398,-1.0349989,-1.798728,-1.584303,0.27148172,-1.0514392,0.71742827,1.6912043,-0.4108284,3
103755,Adventure,3.4488401,3.8454018,-1.455095,0.11473197,1.992455,2.2200005,-1.0637275,-0.8112896,-0.7739804,1.7833446,4
103772,Action,-1.9634199,-2.216571,-1.5963488,-1.0348663,1.9259472,0.09858778,1.9621471,0.34750015,-2.1024325,-2.1530004,1
103801,Comedy,2.616608,0.4570627,-0.8813848,-2.1549573,0.7951218,-0.50882536,0.95045674,1.2588813,0.35344476,0.41493607,8
103865,Comedy,0.027073085,-1.9725832,0.23881161,-1.3049501,2.8893683,-0.00041853078,-0.6810813,-0.57806265,-0.3905248,-0.853017,8
103883,Action,-0.8123485,-0.048385113,-1.7707539,0.2832293,1.3706319,1.7894981,1.0093024,-1.8252189,-2.383351,0.2618939,1
103980,Drama,0.7134945,0.21217313,0.77671283,-1.0268734,-0.43172556,-0.11821996,0.0641796,-2.0439084,1.6264324,1.0842962,11
